location,doses
California,1999470
Alameda,691
Alpine,11978
Amador,67337
Butte,13893
Calaveras,4419
Colusa,390514
Contra Costa,5265
Del Norte,53400
El Dorado,227586
Fresno,6915
Glenn,38126
Humboldt,33939
Imperial,6531
Inyo,171666
Kern,20107
Kings,16367
Lake,5125
Lassen,2709032
Los Angeles,33154
Madera,105603
Marin,3279
Mariposa,35807
Mendocino,52046
Merced,3137
Modoc,8020
Mono,93366
Monterey,55604
Napa,30093
Nevada,906673
Orange,132976
Placer,5177
Plumas,563245
Riverside,359700
Sacramento,12120
San Benito,435445
San Bernardino,1185577
San Diego,308372
San Francisco,158786
San Joaquin,89607
San Luis Obispo,273130
San Mateo,115554
Santa Barbara,519797
Santa Clara,100589
Santa Cruz,37236
Shasta,1600
Sierra,12899
Siskiyou,106621
Solano,174302
Sonoma,132987
Stanislaus,24102
Sutter,11929
Tehama,2537
Trinity,94008
Tulare,20027
Tuolumne,246276
Ventura,66056
Yolo,12007
Yuba,2182600
